Capacity,id,Country Code,K,BC,CC,idx,Community,B,Z,P,phi,rho_C,rho_CM
105531,160,TWN,12,0,0.503448276,16,1,-0.7045,-0.5866,0.1528,0.572004479,1.297137072,0.218402688
105531,717,CHL,12,0,0.503448276,110,1,-0.7045,-0.5866,0.1528,0.155226343,1.065024238,0.014585269
105531,724,CHL,12,0,0.503448276,114,1,-0.7045,-0.5866,0.1528,0.321693122,1.191712938,0.081334447
84180,720,CHL,11,0,0.501718213,112,1,-0.6677,-0.8299,0.314,0.288738434,1.169137926,0.065393275
84180,722,CHL,11,0,0.501718213,113,1,-0.6677,-0.8299,0.314,0.239485944,1.133376641,0.043784835
268100,719,CHL,24,0.000350226,0.528985507,111,1,-0.5573,0.3863,0.3507,0.401147903,1.236200996,0.122280618
268100,728,PER,24,0.000350226,0.528985507,115,1,-0.5573,0.3863,0.3507,0.591930541,1.291814058,0.22777809
162569,714,CHL,21,0,0.523297491,109,1,-0.5573,0.0215,0.39,0.306025075,1.178832764,0.073240495
429123,123,MEX,28,0.000874949,0.536764706,4,1,-0.4837,0.6296,0.4107,0.445773525,1.255498444,0.146455799
229806,185,MUS,24,0.000374578,0.528985507,30,1,-0.4837,0.1431,0.4479,0.445773525,1.255498444,0.146455799
323592,109,MEX,25,0.000362768,0.530909091,3,1,-0.4837,0.2647,0.448,0.197740113,1.102008591,0.028116799
323592,696,COL,25,0.000362768,0.530909091,108,1,-0.4837,0.2647,0.448,0.42133653,1.24316229,0.132676356
67237,888,TGO,9,0,0.496598639,133,1,-0.5941,-1.3164,0.4938,0.515763136,1.279499814,0.18550442
73251,216,RUS,16,0,0.525179856,33,1,-0.5205,-0.7083,0.5703,0.313877875,1.188351971,0.077763098
393340,855,ZAF,30,0.001147314,0.542750929,128,1,-0.2262,0.0215,0.5711,0.740392157,1.221778409,0.289230588
509987,852,ZAF,36,0.002347554,0.55513308,126,1,-0.0422,0.1431,0.5725,0.548048923,1.296978835,0.20578179
156703,215,ROU,22,0.000155234,0.536764706,32,1,-0.3734,-0.465,0.6281,0.262300019,1.152545792,0.053813288
156703,217,UKR,22,0.000155234,0.536764706,34,1,-0.3734,-0.465,0.6281,0.147078014,1.061297016,0.012783645
