id,Community,B
1,0,-0.09
2,0,0.03
5,2,-0.18
12,3,1.34
18,0,0.81
151,9,5.14
163,0,5.44
794,7,5.0
795,6,3.65
21,0,-0.54
424,8,5.45
3,2,-0.79
8,0,0.48
337,0,-0.61
4,5,0.45
6,6,-0.35
9,0,-0.58
11,5,1.51
14,7,-0.12
16,9,-0.51
19,6,0.17
27,4,-0.54
28,1,0.46
40,6,0.1
41,3,0.16
77,9,2.51
144,3,2.87
162,0,4.01
171,5,4.43
176,1,3.98
322,6,3.2
328,0,0.74
429,2,2.94
474,9,3.08
515,3,7.4
802,6,3.81
977,6,2.88
7,0,-0.35
22,0,-0.56
24,5,1.0
46,9,-0.09
51,3,0.31
152,6,3.98
422,4,5.7
446,1,1.46
37,1,0.37
158,0,0.6
412,9,2.79
839,2,-0.51
846,1,-0.02
10,9,-0.76
366,2,1.65
370,3,0.19
377,2,1.79
30,9,-0.37
43,4,-0.2
184,5,0.12
185,4,0.52
232,1,2.22
240,2,4.01
246,5,0.69
369,6,1.62
373,1,0.62
33,2,0.21
36,8,-0.46
13,7,0.95
20,9,0.55
23,0,-0.37
29,5,-0.58
34,6,-0.61
39,6,-0.03
42,0,-0.28
52,5,0.54
58,9,0.45
61,3,-0.17
63,1,-0.69
72,3,1.42
150,1,4.78
160,2,1.57
323,2,2.22
367,4,0.74
413,0,2.9
502,6,1.2
703,1,2.35
769,6,2.14
819,9,0.62
853,8,1.63
855,4,1.54
974,6,-0.09
976,8,0.15
15,3,0.42
224,5,2.33
237,1,1.68
257,1,1.68
262,9,1.65
263,3,3.22
287,0,0.29
498,7,3.07
532,5,5.91
735,7,0.08
737,2,2.9
741,9,0.52
911,2,0.5
17,9,-0.62
26,5,-0.49
275,1,0.91
336,5,-0.55
360,4,2.87
361,6,2.1
423,4,0.61
32,2,-0.65
837,1,1.17
25,2,-0.65
31,0,-0.32
57,7,-0.54
59,7,-0.34
60,2,-0.33
65,2,-0.58
175,4,3.11
375,2,0.1
964,9,-0.62
62,7,-0.49
35,4,-0.6
44,9,-0.12
47,6,-0.67
38,7,-0.56
421,1,3.47
970,5,-0.01
48,0,-0.54
50,4,-0.68
53,6,-0.71
55,3,-0.55
45,4,-0.65
764,3,-0.4
49,5,-0.55
54,6,-0.58
64,4,-0.57
56,9,-0.8
66,3,-0.43
79,1,0.59
100,2,0.1
101,2,-0.72
327,3,0.16
359,4,-0.68
67,1,-0.27
81,1,0.94
82,0,-0.44
84,6,0.2
94,2,0.1
98,0,-0.04
105,9,-0.19
106,5,0.06
107,2,-0.15
110,1,-0.24
112,1,0.14
114,5,-0.19
118,5,-0.04
126,5,0.06
132,1,-0.34
318,1,1.55
319,9,1.76
472,2,0.03
68,4,-0.12
91,6,-0.03
102,6,0.0
121,2,0.07
131,1,-0.34
135,8,0.06
136,1,1.2
699,3,0.36
69,2,0.07
90,6,0.17
96,4,0.18
117,9,-0.23
125,5,0.09
70,3,-0.52
78,2,-0.58
95,1,-0.43
109,4,-0.14
123,4,0.69
134,0,-0.51
138,1,-0.34
71,3,-0.61
74,1,0.37
111,1,1.71
116,0,1.0
154,4,2.23
216,0,0.22
219,5,-0.55
251,1,-0.56
320,4,0.82
325,2,2.33
326,4,1.3
334,6,1.13
368,0,-0.49
374,5,0.39
418,2,3.12
457,0,0.96
501,6,1.17
521,2,0.32
533,4,2.79
599,0,0.58
696,3,0.84
700,2,0.25
709,5,0.03
710,0,0.06
714,3,0.42
717,7,-0.02
719,0,0.46
720,6,0.33
722,8,0.47
724,0,0.32
728,1,1.04
729,9,0.06
732,9,1.33
734,0,-0.25
852,3,1.07
905,4,1.57
950,1,1.68
73,8,-0.59
500,2,-0.0
115,4,0.36
122,0,0.39
127,6,-0.48
133,1,-0.24
354,9,1.23
673,5,0.57
676,4,0.36
679,4,1.06
681,9,0.77
688,9,-0.16
691,6,-0.32
705,0,0.08
706,1,-0.11
713,2,-0.65
75,8,-0.33
222,3,0.39
245,3,1.63
295,1,0.11
510,3,-0.11
954,4,-0.65
956,9,-0.69
76,7,0.15
85,6,-0.09
99,9,0.09
119,0,-0.56
355,3,-0.4
727,7,-0.29
80,4,0.2
241,1,-0.37
247,8,0.67
290,2,1.04
301,4,2.13
305,0,0.08
364,5,-0.19
371,3,0.33
666,0,0.6
668,3,-0.14
671,5,0.88
682,9,-0.23
683,9,0.23
684,9,0.23
698,8,0.35
704,6,-0.77
707,8,-0.23
948,6,1.2
365,2,-0.79
130,0,-0.47
113,8,-0.33
497,6,0.55
83,5,-0.73
86,7,-0.61
87,2,-0.76
88,7,-0.31
89,9,-0.34
124,4,-0.44
708,0,-0.23
731,3,-0.43
97,1,-0.21
317,9,0.48
93,5,-0.58
92,1,-0.88
137,3,-0.58
259,1,1.84
494,0,-0.09
689,2,-0.72
693,9,-0.69
270,1,-0.88
104,9,-0.9
513,6,-0.09
108,3,-0.52
358,8,-0.52
339,9,-0.8
335,5,-0.1
481,9,1.73
672,1,-0.56
674,4,0.07
675,5,-0.13
678,2,0.43
120,0,-0.54
129,2,-0.87
128,5,-0.61
479,2,1.11
746,4,1.43
754,1,1.26
756,4,0.93
918,9,2.97
941,9,0.8
450,9,-0.3
139,1,-0.59
140,6,-0.35
141,9,-0.55
143,4,-0.44
165,6,-0.06
167,9,-0.34
170,3,0.6
174,3,0.1
178,5,-0.37
179,6,-0.16
180,4,-0.44
142,0,-0.63
147,1,-0.46
415,2,-0.29
419,1,0.56
506,2,0.53
145,6,0.26
155,9,-0.37
159,3,-0.49
161,9,0.66
396,2,1.65
408,0,0.32
433,2,0.07
813,5,0.39
845,7,0.9
851,2,1.14
858,7,0.48
860,1,0.27
886,1,0.53
888,9,0.94
891,2,1.65
146,1,-0.78
149,0,-0.42
148,1,-0.05
156,6,-0.41
389,7,1.09
834,8,1.6
841,1,-0.82
