iterations,Alpha,pval
0,2.2612,0.187812188
1,2.1692,0.332667333
2,2.1371,0.256743257
3,2.1563,0.094905095
4,2.1535,0.18981019
5,2.1425,0.037962038
6,2.1689,0.203796204
7,2.2724,0.467532468
8,2.2396,0.553446553
9,2.2597,0.295704296
10,2.1134,0.083916084
11,2.2316,0.137862138
12,2.2741,0.575424575
13,2.229,0.423576424
14,2.3022,0.561438561
15,2.295,0.823176823
16,2.2175,0.20979021
17,2.2682,0.511488511
18,2.2148,0.266733267
19,2.2478,0.654345654
20,2.1676,0.07992008
21,2.1949,0.375624376
22,2.2551,0.276723277
23,2.2031,0.432567433
24,2.2281,0.332667333
25,2.2263,0.336663337
26,2.179,0.198801199
27,2.2129,0.242757243
28,2.1977,0.276723277
29,2.2727,0.651348651
30,2.2322,0.424575425
31,2.2345,0.15984016
32,2.1679,0.233766234
33,2.1866,0.114885115
34,2.2118,0.302697303
35,2.2474,0.395604396
36,2.2577,0.460539461
37,2.239,0.098901099
38,2.1506,0.257742258
39,2.2022,0.46953047
40,2.1918,0.210789211
41,2.1229,0.095904096
42,2.1899,0.030969031
43,2.1878,0.10989011
44,2.1938,0.112887113
45,2.2229,0.126873127
46,2.2369,0.354645355
47,2.1935,0.131868132
48,2.198,0.307692308
49,2.1362,0.250749251
50,2.1524,0.117882118
51,2.1335,0.076923077
52,2.0787,0.105894106
53,2.1759,0.153846154
54,2.2862,0.387612388
55,2.2633,0.575424575
56,2.1683,0.421578422
57,2.2404,0.172827173
58,2.138,0.087912088
59,2.0918,0.195804196
60,2.1353,0.236763237
61,2.1811,0.210789211
62,2.1988,0.193806194
63,2.2056,0.243756244
64,2.1545,0.578421578
65,2.16,0.063936064
66,2.241,0.101898102
67,2.2635,0.317682318
68,2.2537,0.321678322
69,2.2616,0.280719281
70,2.2222,0.404595405
71,2.1702,0.285714286
72,2.2282,0.160839161
73,2.1683,0.595404595
74,2.1739,0.172827173
75,2.1347,0.058941059
76,2.21,0.237762238
77,2.2378,0.213786214
78,2.2388,0.18981019
79,2.1742,0.02997003
80,2.23,0.539460539
81,2.1877,0.465534466
82,2.1966,0.240759241
83,2.1464,0.283716284
84,2.2093,0.186813187
85,2.2023,0.080919081
