Country Code_source,Country Code_target,BTV
ARG,ALB,4946330
AUS,ALB,1954300
AUT,ALB,83595988
BGD,ALB,2750049
ARM,ALB,43875
BEL,ALB,30042402
BIH,ALB,30284718
BRA,ALB,37152628
BGR,ALB,87491874
CAN,ALB,33527827
LKA,ALB,4710172
CHN,ALB,489798336
COL,ALB,610888
CRI,ALB,322578
CZE,ALB,39581392
DNK,ALB,9814446
ECU,ALB,12946088
EST,ALB,756698
FIN,ALB,9274813
FRA,ALB,112708448
GEO,ALB,227324
DEU,ALB,327641142
GHA,ALB,120448
GRC,ALB,455764863
HKG,ALB,10242940
HUN,ALB,65172568
IDN,ALB,10580888
IRN,ALB,1377303
IRL,ALB,14129168
ISR,ALB,9263038
ITA,ALB,2311202444
JPN,ALB,14270096
KAZ,ALB,320951
JOR,ALB,909630
KEN,ALB,147517
KOR,ALB,20227905
KGZ,ALB,50675
LBN,ALB,311791
LTU,ALB,2830479
MYS,ALB,9276139
MEX,ALB,5668438
NLD,ALB,53519992
NZL,ALB,267038
NOR,ALB,3283054
MHL,ALB,1058962
PAK,ALB,4761902
PHL,ALB,230809
POL,ALB,61117569
PRT,ALB,8056614
ROU,ALB,60881082
RUS,ALB,87517014
SAU,ALB,6984716
SRB,ALB,260738000
IND,ALB,34829556
SGP,ALB,1056736
SVK,ALB,29697012
VNM,ALB,14270710
ZAF,ALB,1826190
ESP,ALB,172503782
SDN,ALB,2324889
SWE,ALB,11859525
CHE,ALB,65921390
THA,ALB,8295054
ARE,ALB,12774228
TUR,ALB,369457057
TKM,ALB,43119
UKR,ALB,28699158
EGY,ALB,27068984
GBR,ALB,35858488
TZA,ALB,6493
USA,ALB,139860165
URY,ALB,458511
AUS,ATA,6956747
CAN,ATA,4556616
DNK,ATA,162882
FIN,ATA,12520
FRA,ATA,5453538
DEU,ATA,2449003
KOR,ATA,8633200
LUX,ATA,79713
MYS,ATA,41765
NZL,ATA,4289084
POL,ATA,621780
IND,ATA,1099882
ZAF,ATA,1123670
ESP,ATA,845842
SDN,ATA,55488
GBR,ATA,1134664
ALB,DZA,9344226
AZE,DZA,360466
ARG,DZA,1148041361
AUS,DZA,15249156
AUT,DZA,536565290
BGD,DZA,12655867
ARM,DZA,126449
BEL,DZA,2075697462
BIH,DZA,19088928
BRA,DZA,2720229708
BGR,DZA,99487294
MMR,DZA,206662
CAN,DZA,1232140792
LKA,DZA,1372056
CHN,DZA,8583747332
COL,DZA,24130534
CRI,DZA,2264540
CZE,DZA,286248250
DNK,DZA,157469740
ECU,DZA,92177893
EST,DZA,32122198
FIN,DZA,279025236
FRA,DZA,10614474960
GEO,DZA,1487003
DEU,DZA,3976906280
GHA,DZA,4688538
GRC,DZA,405458966
GTM,DZA,2908030
HKG,DZA,184575688
HUN,DZA,150362353
IDN,DZA,474732600
IRN,DZA,12444098
IRQ,DZA,3382549
IRL,DZA,196921379
ITA,DZA,9034762722
JAM,DZA,2712
JPN,DZA,1175063142
KAZ,DZA,2966062
JOR,DZA,151130894
KEN,DZA,2861837
KOR,DZA,1834640786
KGZ,DZA,45671
LBN,DZA,71713409
LTU,DZA,126562829
MYS,DZA,258543198
MEX,DZA,325226150
NPL,DZA,116195
NLD,DZA,2719287255
NZL,DZA,429149266
NOR,DZA,78281981
MHL,DZA,71571305
PAK,DZA,27360413
PAN,DZA,16249900
PHL,DZA,13241306
POL,DZA,441413302
PRT,DZA,1454251231
ROU,DZA,541009743
RUS,DZA,1025185002
SAU,DZA,594732302
SRB,DZA,29845319
IND,DZA,1257334302
SGP,DZA,232489630
SVK,DZA,105521943
VNM,DZA,292088732
ZAF,DZA,139523552
ESP,DZA,10473312112
SDN,DZA,2370085
SWE,DZA,514695263
CHE,DZA,429322548
TJK,DZA,54627204
THA,DZA,253709096
ARE,DZA,395088210
TUR,DZA,3208497315
UGA,DZA,1068268
UKR,DZA,265144428
EGY,DZA,966571096
GBR,DZA,3287511677
TZA,DZA,5359252
USA,DZA,5182454694
URY,DZA,95249997
UZB,DZA,104799
AUS,ASM,18254033
BGD,ASM,112780
BEL,ASM,115047
BRA,ASM,41018
KHM,ASM,29658
CAN,ASM,4514474
LKA,ASM,403223
DNK,ASM,39766
ECU,ASM,384553
FJI,ASM,12388275
FIN,ASM,14301
FRA,ASM,1934887
DEU,ASM,84694
HKG,ASM,658238
IDN,ASM,6853247
ITA,ASM,501686
JPN,ASM,1703094
KOR,ASM,13112630
LVA,ASM,4782
MYS,ASM,10571745
NAM,ASM,75711
NPL,ASM,55346
NLD,ASM,55912
NZL,ASM,25023098
NER,ASM,19119
PAK,ASM,69653
PER,ASM,12009
PHL,ASM,2717046
POL,ASM,182678
IND,ASM,1510880
SGP,ASM,39761579
SVK,ASM,413041
ZAF,ASM,11245
ESP,ASM,1071817
SDN,ASM,199436
TUR,ASM,1455338
GBR,ASM,979479
TZA,ASM,2324055
WSM,ASM,11312795
YEM,ASM,105372
AUT,AND,5773224
BEL,AND,15183340
BIH,AND,11887
BWA,AND,110992
BRA,AND,161463
BGR,AND,171684
CMR,AND,25249
CAN,AND,401649
LKA,AND,244755
CHL,AND,859693
CHN,AND,1295292
HRV,AND,190433
CYP,AND,1367
CZE,AND,1779966
BEN,AND,115867
DNK,AND,940458
DOM,AND,37640
SLV,AND,211362
ETH,AND,2443352
EST,AND,694
FIN,AND,2718976
FRA,AND,246945325
DEU,AND,38650852
GRC,AND,616030
HKG,AND,898757
HUN,AND,35924
IDN,AND,107965
IRL,AND,333194
ISR,AND,955000
ITA,AND,18149438
CIV,AND,57844
JPN,AND,284290
KOR,AND,1360290
LVA,AND,169091
LTU,AND,149150
LUX,AND,2689323
MYS,AND,676096
MEX,AND,441380
MAR,AND,941117
NAM,AND,35297
NPL,AND,317828
NLD,AND,18428795
NIC,AND,22486
NER,AND,1660
NOR,AND,2931927
PHL,AND,1670214
POL,AND,2946307
PRT,AND,3366644
ROU,AND,368775
RUS,AND,4593747
IND,AND,5164979
SGP,AND,762468
SVK,AND,825453
SVN,AND,200134
ZAF,AND,537179
ESP,AND,911657940
SWE,AND,1189748
CHE,AND,6291037
THA,AND,382027
ARE,AND,156678
TUN,AND,124105
TUR,AND,1105835
MKD,AND,6985
GBR,AND,14377669
USA,AND,8224325
DZA,AGO,2492049
ARG,AGO,59182013
AUS,AGO,23618264
