id,Capacity,Country Code,K,BC,phi,rho_C,rho_CM
1,108961,NZL,7,0.00182388,0.0398,1.0638,0.00411523
2,48738,NZL,7,0.00201996,0.0398,1.0638,0.00411523
3,61,NZL,2,1.75E-06,0.0156,1.0105,0.000204806
4,154050,NZL,8,0.001866823,0.0477,1.0894,0.006662898
5,78217,NZL,5,6.34E-05,0.0281,1.0411,0.001675886
6,52049,NZL,6,0.000143284,0.0338,1.0514,0.002709817
7,9298,AUS,5,7.31E-05,0.0281,1.0411,0.001675886
8,207410,NZL,8,0.002219963,0.0477,1.0894,0.006662898
9,1816,NZL,2,6.52E-06,0.0156,1.0105,0.000204806
10,4164,AUS,2,0,0.0156,1.0105,0.000204806
11,559091,AUS,18,0.005432011,0.1582,1.2747,0.065669713
12,287903,NZL,21,0.014165745,0.1918,1.297,0.087810298
13,262574,NZL,26,0.022797464,0.2584,1.3416,0.135625325
14,9127,NZL,6,0.000333093,0.0338,1.0514,0.002709817
15,262087,AUS,7,0.000508543,0.0398,1.0638,0.00411523
16,6208,AUS,4,0.000101368,0.0236,1.0319,0.001027087
17,3860,AUS,4,0.001025683,0.0236,1.0319,0.001027087
18,555132,AUS,16,0.004521637,0.1328,1.2663,0.050573079
19,20597,AUS,5,5.48E-05,0.0281,1.0411,0.001675886
20,259334,AUS,13,0.003547785,0.0966,1.2102,0.029460773
21,94,AUS,2,0,0.0156,1.0105,0.000204806
22,94,AUS,4,1.73E-05,0.0236,1.0319,0.001027087
23,22864,NZL,2,1.25E-06,0.0156,1.0105,0.000204806
24,432390,AUS,23,0.014988367,0.2208,1.3177,0.108126598
25,3426,AUS,2,0,0.0156,1.0105,0.000204806
26,1158,AUS,2,2.60E-06,0.0156,1.0105,0.000204806
27,2044,NCL,2,0,0.0156,1.0105,0.000204806
28,43633,NCL,10,0.002080285,0.0639,1.1302,0.012894571
29,1259,COK,3,0.000489397,0.0179,1.0143,0.000340565
30,10128,TON,6,0.000479624,0.0338,1.0514,0.002709817
31,3992,AUS,6,0.001408305,0.0338,1.0514,0.002709817
32,2834,AUS,4,0.000943725,0.0236,1.0319,0.001027087
33,13976,AUS,6,0.000457304,0.0338,1.0514,0.002709817
34,1035,NIU,2,0.001040161,0.0156,1.0105,0.000204806
35,1259,COK,3,4.90E-06,0.0179,1.0143,0.000340565
36,1259,TON,4,0.000519743,0.0236,1.0319,0.001027087
37,36166,FJI,15,0.010438687,0.124,1.2565,0.045335544
38,896,AUS,2,0,0.0156,1.0105,0.000204806
39,16935,FJI,6,4.82E-05,0.0338,1.0514,0.002709817
40,51204,PYF,10,0.008887032,0.0639,1.1302,0.012894571
41,16872,VUT,7,0.000358795,0.0398,1.0638,0.00411523
42,4785,VUT,4,2.45E-05,0.0236,1.0319,0.001027087
43,14801,ASM,5,0.001047079,0.0281,1.0411,0.001675886
44,15057,WSM,5,0.003941394,0.0281,1.0411,0.001675886
45,903,WLF,2,7.56E-06,0.0156,1.0105,0.000204806
46,21869,AUS,7,0.000582942,0.0398,1.0638,0.00411523
47,903,WLF,2,0.00199152,0.0156,1.0105,0.000204806
48,256,KIR,2,0.002286546,0.0156,1.0105,0.000204806
49,7444,PNG,3,5.94E-05,0.0179,1.0143,0.000340565
50,256,TKL,2,0.001803408,0.0156,1.0105,0.000204806
51,35452,PNG,11,0.004134289,0.0759,1.1574,0.01837133
52,30499,SLB,17,0.005838161,0.1452,1.2819,0.058338215
53,256,TKL,2,1.57E-05,0.0156,1.0105,0.000204806
54,7444,PNG,3,4.65E-05,0.0179,1.0143,0.000340565
55,256,TKL,2,0.00025724,0.0156,1.0105,0.000204806
56,903,TUV,2,6.10E-05,0.0156,1.0105,0.000204806
57,2785,SLB,4,1.17E-05,0.0236,1.0319,0.001027087
58,44659,PNG,17,0.005215155,0.1452,1.2819,0.058338215
59,7064,PNG,4,8.70E-05,0.0236,1.0319,0.001027087
60,16312,PNG,9,0.004308638,0.0556,1.1111,0.009575673
61,16260,PNG,6,0.001728932,0.0338,1.0514,0.002709817
62,4349,PNG,3,4.13E-05,0.0179,1.0143,0.000340565
63,7889,PNG,4,6.24E-06,0.0236,1.0319,0.001027087
64,3638,PNG,2,0,0.0156,1.0105,0.000204806
65,1655,NRU,5,0.000165813,0.0281,1.0411,0.001675886
66,25149,GTM,6,0.000342699,0.0338,1.0514,0.002709817
67,2984,KNA,3,2.94E-05,0.0179,1.0143,0.000340565
68,4606,VIR,5,6.93E-05,0.0281,1.0411,0.001675886
69,3442,AIA,6,0.001240813,0.0338,1.0514,0.002709817
70,23713,NIC,5,0.000330928,0.0281,1.0411,0.001675886
71,390,CRI,2,2.55E-06,0.0156,1.0105,0.000204806
