id,Country Code,Capacity,Community,sub_Community,K,sub_K,BC,CC,P,Z,B,B_sub,Z_sub,P_sub,phi,rho_C,rho_CM
1,NZL,108961,6,2,27,16,6.22E-05,0.3982,0.5652,-0.0799,0.0867,-0.4934,0.0537,0.3203,0.138649361,1.05705508,0.011007402
2,NZL,48738,6,2,34,26,0.00154811,0.3923,0.3599,0.7137,-0.0411,-0.0588,1.0555,0.3935,0.192008977,1.096382094,0.026017755
3,NZL,61,6,2,3,3,0,0.3141,0,-1.1117,-0.3819,-0.9279,-1.3775,0,0.039255988,1.000472051,1.89E-05
4,NZL,154050,6,2,49,25,0.001770031,0.4494,0.6397,0.6344,0.6406,-0.0588,0.9124,0.4,0.306025075,1.178832764,0.073240495
5,NZL,78217,6,2,26,18,2.94E-05,0.3893,0.426,0.0788,-0.0411,-0.3485,0.1968,0.3642,0.133892842,1.053351029,0.009930171
6,NZL,52049,6,2,23,23,0.000153561,0.37,0,0.4756,-0.3819,-0.3485,0.9124,0.3062,0.117825865,1.037758329,0.006333484
7,AUS,9298,6,2,19,14,0.000449752,0.3849,0.3878,-0.2387,-0.1689,-0.4934,-0.2326,0.3571,0.101689322,1.028792342,0.004022092
8,NZL,207410,6,2,64,32,0.004623982,0.4567,0.6348,1.19,0.9815,0.6654,1.1986,0.5312,0.441127695,1.255578213,0.144288557
9,NZL,1816,6,2,3,3,0,0.32,0,-1.1117,-0.3819,-0.9279,-1.3775,0,0.039255988,1.000472051,1.89E-05
10,AUS,4164,6,2,9,5,0,0.3473,0.4938,-0.953,-0.2115,-0.783,-1.2344,0.32,0.057365289,1.007039601,0.000458744
11,AUS,559091,6,2,89,37,0.004457645,0.4813,0.731,1.5868,1.8336,1.3895,1.1986,0.6121,0.659959759,1.269927009,0.259274849
12,NZL,287903,6,2,84,44,0.006108161,0.4617,0.6043,2.1424,1.3223,2.2586,1.3417,0.6446,0.621296296,1.285913191,0.242181481
13,NZL,262574,6,2,77,46,0.007648147,0.4483,0.5556,2.3011,0.9389,2.2586,1.6279,0.6314,0.557777778,1.304509,0.212397576
14,NZL,9127,6,2,26,24,0.00030979,0.3735,0.142,0.555,-0.2967,0.2308,0.483,0.5174,0.133892842,1.053351029,0.009930171
15,AUS,262087,6,2,48,18,0.000738108,0.4593,0.7049,0.0788,0.8963,-0.2037,0.0537,0.4444,0.288738434,1.169137926,0.065393275
16,AUS,6208,6,2,18,14,2.47E-05,0.3491,0.3457,-0.2387,-0.2115,-0.6382,-0.0894,0.2449,0.096101971,1.026273931,0.003396435
17,AUS,3860,6,2,14,8,2.18E-06,0.3928,0.602,-0.7149,-0.1263,-0.6382,-0.9481,0.375,0.078575776,1.018173627,0.001777109
18,AUS,555132,6,2,76,32,0.002464029,0.474,0.7261,1.19,1.4927,1.2447,0.6261,0.6367,0.548048923,1.296978835,0.20578179
19,AUS,20597,6,2,39,27,0.000490064,0.4055,0.4642,0.7931,0.1293,0.086,1.0555,0.4225,0.2260053,1.126538675,0.038896301
20,AUS,259334,6,2,57,25,0.001854074,0.4645,0.7024,0.6344,0.9815,0.086,0.7693,0.4384,0.386438765,1.232191118,0.115062646
21,AUS,94,6,2,5,5,0,0.3103,0,-0.953,-0.3819,-0.9279,-1.0913,0,0.045093882,1.002017839,9.60E-05
22,AUS,94,6,2,5,5,0,0.3103,0,-0.953,-0.3819,-0.9279,-1.0913,0,0.045093882,1.002017839,9.60E-05
23,NZL,22864,6,2,15,15,0,0.3675,0,-0.1593,-0.3819,-0.6382,0.0537,0.24,0.082769126,1.020027777,0.002107218
24,AUS,432390,6,2,71,47,0.002683497,0.4167,0.4733,2.3805,0.6406,2.2586,1.7711,0.6383,0.500228833,1.277096188,0.177203509
25,AUS,3426,6,3,10,10,0,0.3676,0,-0.5561,-0.3819,-0.3119,-0.7673,0.68,0.060296465,1.007813214,0.000550285
26,AUS,1158,6,2,13,7,0,0.3921,0.6272,-0.7942,-0.1263,-0.783,-0.9481,0.2449,0.073835897,1.016709041,0.001486072
