id,Capacity,Country Code,K,BC,phi,rho_C,rho_CM
1,108961,NZL,27,0.000165157,0.195,1.0899,0.023443694
2,40349,NZL,20,0.000734771,0.1405,1.0515,0.009656301
4,144376,NZL,43,0.001798053,0.3498,1.1983,0.086448601
5,72175,NZL,17,1.91E-06,0.1193,1.0407,0.0062313
6,48417,NZL,22,0.000134838,0.1529,1.0595,0.01222577
7,3292,AUS,10,0.000118911,0.07,1.0091,0.00075216
8,186767,NZL,45,0.001872562,0.372,1.2071,0.096534165
11,542214,AUS,79,0.008551759,0.7166,1.27,0.272199365
12,261341,NZL,68,0.011122089,0.6158,1.2577,0.217741772
13,243737,NZL,63,0.01021863,0.5553,1.2555,0.187299703
14,2915,NZL,17,0.000168298,0.1193,1.0407,0.0062313
15,262087,AUS,48,0.001331503,0.3993,1.2194,0.109723333
16,2044,AUS,12,0,0.0804,1.0186,0.001743468
17,1158,AUS,13,0,0.0876,1.0217,0.002291562
18,555132,AUS,76,0.006327101,0.6979,1.2785,0.264827506
19,8549,AUS,30,0.00083616,0.2237,1.1096,0.032679196
20,257006,AUS,52,0.001622329,0.4401,1.2334,0.129637672
21,94,AUS,5,0,0.0517,1.0016,9.16E-05
22,94,AUS,5,0,0.0517,1.0016,9.16E-05
23,22864,NZL,15,0,0.1032,1.031,0.004000512
24,412752,AUS,60,0.005292635,0.5129,1.24,0.163808813
26,1158,AUS,13,0,0.0876,1.0217,0.002291562
27,2044,NCL,12,0,0.0804,1.0186,0.001743468
28,24804,NCL,37,0.002657423,0.3063,1.1774,0.067407498
29,1259,COK,10,0,0.07,1.0091,0.00075216
30,6504,TON,18,0.000132731,0.1255,1.0442,0.007189397
31,1158,AUS,13,0,0.0876,1.0217,0.002291562
33,6006,AUS,18,0.000131419,0.1255,1.0442,0.007189397
34,1035,NIU,10,0,0.07,1.0091,0.00075216
35,1259,COK,10,0,0.07,1.0091,0.00075216
36,1259,TON,10,0,0.07,1.0091,0.00075216
37,22166,FJI,36,0.00533647,0.2937,1.1701,0.062077882
39,7099,FJI,20,0.000217666,0.1405,1.0515,0.009656301
40,46915,PYF,25,0.00067097,0.175,1.0732,0.017423052
41,4920,VUT,26,0.000838407,0.1854,1.0837,0.020718593
42,1161,VUT,13,0.000160143,0.0876,1.0217,0.002291562
43,11177,ASM,23,0.000363877,0.1593,1.0632,0.013605553
44,11433,WSM,27,0.002333205,0.195,1.0899,0.023443694
45,903,WLF,9,0,0.0666,1.0069,0.000544233
46,5329,AUS,12,8.19E-05,0.0804,1.0186,0.001743468
47,903,WLF,9,0,0.0666,1.0069,0.000544233
48,256,KIR,6,0,0.0538,1.0022,0.00013215
49,3806,PNG,7,0,0.0587,1.0038,0.000255309
50,256,TKL,6,0,0.0538,1.0022,0.00013215
51,24191,PNG,31,0.000773797,0.2352,1.1202,0.037134384
52,15121,SLB,35,0.010136911,0.287,1.1669,0.059405781
53,256,TKL,6,0,0.0538,1.0022,0.00013215
54,3806,PNG,7,0,0.0587,1.0038,0.000255309
55,256,TKL,6,0,0.0538,1.0022,0.00013215
56,903,TUV,9,0,0.0666,1.0069,0.000544233
57,2785,SLB,7,9.11E-05,0.0587,1.0038,0.000255309
58,20727,PNG,25,0.000508466,0.175,1.0732,0.017423052
60,11963,PNG,14,7.30E-05,0.0969,1.0269,0.003220767
61,12622,PNG,19,0.000228182,0.1319,1.0488,0.008363061
63,7889,PNG,13,4.10E-06,0.0876,1.0217,0.002291562
65,1655,NRU,11,6.63E-05,0.074,1.0117,0.00102696
66,25149,GTM,11,0.000173017,0.074,1.0117,0.00102696
67,1200,KNA,11,0,0.074,1.0117,0.00102696
68,2244,VIR,5,0,0.0517,1.0016,9.16E-05
69,1200,AIA,11,0,0.074,1.0117,0.00102696
70,23713,NIC,9,7.47E-06,0.0666,1.0069,0.000544233
72,1140615,PAN,93,0.010064443,0.7903,1.2243,0.29613913
74,336790,PAN,59,0.002997787,0.4989,1.2296,0.15500529
75,5016,PAN,4,0,0.0476,1.0008,3.99E-05
76,121216,PAN,37,0.001392231,0.3063,1.1774,0.067407498
77,841726,PAN,119,0.018132188,0.892,1.2098,0.339356322
78,19581,CRI,12,0.001187289,0.0804,1.0186,0.001743468
79,141097,CRI,52,0.003699139,0.4401,1.2334,0.129637672
80,21552,TTO,32,0.000602408,0.2469,1.1332,0.042224206
81,155664,TTO,62,0.010040841,0.5456,1.2509,0.181611184
82,1200,GBR,11,0,0.074,1.0117,0.00102696
83,467,NIC,4,0,0.0476,1.0008,3.99E-05
84,7059,GRD,24,0.000265229,0.1672,1.0698,0.01566722
85,15214,CUW,21,5.56E-05,0.1455,1.0537,0.010538419
86,467,NIC,4,0,0.0476,1.0008,3.99E-05
87,467,NIC,4,0,0.0476,1.0008,3.99E-05
88,11762,BES,17,1.17E-05,0.1193,1.0407,0.0062313
89,13540,ABW,19,3.42E-05,0.1319,1.0488,0.008363061
90,11730,BRB,31,0.00049133,0.2352,1.1202,0.037134384
91,4190,VCT,15,4.29E-05,0.1032,1.031,0.004000512
92,3526,HND,4,0,0.0476,1.0008,3.99E-05
93,26347,SLV,11,7.81E-05,0.074,1.0117,0.00102696
94,1200,LCA,11,0,0.074,1.0117,0.00102696
95,70678,GTM,23,0.001692182,0.1593,1.0632,0.013605553
96,6504,LCA,18,3.29E-05,0.1255,1.0442,0.007189397
97,29655,MTQ,28,0.001152033,0.199,1.0936,0.024770296
98,3146,DMA,19,5.63E-05,0.1319,1.0488,0.008363061
99,55270,GTM,26,0.001393583,0.1854,1.0837,0.020718593
100,80419,HND,32,0.002402663,0.2469,1.1332,0.042224206
101,5016,HND,7,4.83E-05,0.0587,1.0038,0.000255309
102,27860,GLP,24,0.00046202,0.1672,1.0698,0.01566722
103,911,HND,1,0,0.0409,1,4.44E-16
104,15328,BLZ,6,0,0.0538,1.0022,0.00013215
105,4871,ATG,21,7.46E-05,0.1455,1.0537,0.010538419
106,5426,KNA,24,0.000157227,0.1672,1.0698,0.01566722
107,1946,NLD,13,0,0.0876,1.0217,0.002291562
108,4415,BLZ,7,0,0.0587,1.0038,0.000255309
109,528055,MEX,35,0.001136514,0.287,1.1669,0.059405781
110,3146,BLM,19,5.63E-05,0.1319,1.0488,0.008363061
111,438351,JAM,105,0.015823316,0.8468,1.2133,0.319726727
112,18662,SXM,35,0.003183247,0.287,1.1669,0.059405781
113,1946,VGB,13,0,0.0876,1.0217,0.002291562
115,32723,DOM,29,0.000475011,0.2107,1.1012,0.028410741
116,512228,DOM,88,0.005852356,0.7736,1.2734,0.302679245
117,1976,DOM,7,0,0.0587,1.0038,0.000255309
118,1946,VGB,13,0,0.0876,1.0217,0.002291562
119,2414,JAM,5,0,0.0517,1.0016,9.16E-05
120,862,DOM,7,0,0.0587,1.0038,0.000255309
121,23110,PRI,19,8.85E-05,0.1319,1.0488,0.008363061
122,20285,HTI,38,0.000776011,0.3129,1.1838,0.070747133
123,972177,MEX,65,0.006952988,0.5763,1.2487,0.196024817
124,6185,CYM,14,7.62E-05,0.0969,1.0269,0.003220767
125,1416,HTI,13,9.25E-05,0.0876,1.0217,0.002291562
126,10196,DOM,14,0.000146135,0.0969,1.0269,0.003220767
127,1798,CUB,7,0,0.0587,1.0038,0.000255309
129,1237,MEX,2,0,0.0425,1.0001,3.54E-06
132,862,TCA,7,0,0.0587,1.0038,0.000255309
133,14282,CUB,20,0.00015909,0.1405,1.0515,0.009656301
