id,Capacity,Country Code,K,BC,phi,rho_C,rho_CM
1,108961,NZL,27,0.00017915,0.1843,1.1031,0.024373961
2,40410,NZL,22,0.001312084,0.1445,1.0671,0.012669243
3,61,NZL,3,0,0.0404,1.0007,2.90E-05
4,148008,NZL,44,0.003052841,0.3418,1.2071,0.088933482
5,72175,NZL,17,2.01E-06,0.1146,1.0469,0.00681053
6,52049,NZL,23,0.000321612,0.1515,1.0728,0.014424364
7,3292,AUS,10,0.000104107,0.0658,1.011,0.000849871
8,186828,NZL,47,0.005962684,0.3595,1.2126,0.096986939
9,1816,NZL,3,0,0.0404,1.0007,2.90E-05
11,542214,AUS,79,0.008016269,0.6798,1.2734,0.265290865
12,263157,NZL,68,0.010250702,0.588,1.2808,0.21829916
13,247369,NZL,64,0.01041037,0.5483,1.2812,0.198009183
14,2915,NZL,17,0.000145244,0.1146,1.0469,0.00681053
15,262087,AUS,48,0.001447679,0.3709,1.2191,0.102829291
16,2044,AUS,12,0,0.0783,1.024,0.002177838
17,1158,AUS,13,0,0.0848,1.0269,0.002729308
18,555132,AUS,76,0.006018021,0.6419,1.2791,0.246383942
19,8549,AUS,30,0.000765535,0.2098,1.1229,0.032984344
20,257006,AUS,52,0.001738697,0.4134,1.2398,0.124919935
21,94,AUS,5,0,0.0484,1.0027,0.00014033
22,94,AUS,5,0,0.0484,1.0027,0.00014033
23,22864,NZL,15,0,0.0976,1.0344,0.004172704
24,412752,AUS,60,0.004980285,0.4867,1.2532,0.161616681
26,1158,AUS,13,0,0.0848,1.0269,0.002729308
27,2044,NCL,12,0,0.0783,1.024,0.002177838
28,24804,NCL,37,0.002308093,0.2902,1.1893,0.066976432
29,1259,COK,10,0,0.0658,1.011,0.000849871
30,6504,TON,18,0.000119092,0.1191,1.0496,0.007532079
31,1158,AUS,13,0,0.0848,1.0269,0.002729308
33,6006,AUS,18,0.000150572,0.1191,1.0496,0.007532079
34,1035,NIU,10,0,0.0658,1.011,0.000849871
35,1259,COK,10,0,0.0658,1.011,0.000849871
36,1259,TON,10,0,0.0658,1.011,0.000849871
37,22166,FJI,36,0.004911227,0.278,1.1846,0.062127355
39,7099,FJI,20,0.000203809,0.1334,1.0595,0.010272295
40,46915,PYF,25,0.000582082,0.1667,1.085,0.018534148
41,4920,VUT,26,0.00078066,0.1771,1.0972,0.022098415
42,1161,VUT,13,0.000144308,0.0848,1.0269,0.002729308
43,11177,ASM,23,0.00033515,0.1515,1.0728,0.014424364
44,11433,WSM,27,0.002138474,0.1843,1.1031,0.024373961
45,903,WLF,9,0,0.0623,1.0088,0.000640648
46,5329,AUS,12,5.59E-05,0.0783,1.024,0.002177838
47,903,WLF,9,0,0.0623,1.0088,0.000640648
48,256,KIR,6,0,0.0505,1.0037,0.000204506
49,3806,PNG,7,0,0.0552,1.0058,0.000355835
50,256,TKL,6,0,0.0505,1.0037,0.000204506
51,24191,PNG,31,0.000691748,0.227,1.1352,0.039224686
52,15121,SLB,35,0.009165596,0.2721,1.1818,0.059740661
53,256,TKL,6,0,0.0505,1.0037,0.000204506
54,3806,PNG,7,0,0.0552,1.0058,0.000355835
55,256,TKL,6,0,0.0505,1.0037,0.000204506
56,903,TUV,9,0,0.0623,1.0088,0.000640648
57,2785,SLB,7,8.59E-05,0.0552,1.0058,0.000355835
58,20727,PNG,25,0.000423298,0.1667,1.085,0.018534148
60,11963,PNG,14,9.07E-05,0.0926,1.0315,0.003570818
61,12622,PNG,19,0.00022623,0.1258,1.0548,0.008824948
63,7889,PNG,13,3.56E-06,0.0848,1.0269,0.002729308
65,1655,NRU,11,5.99E-05,0.0718,1.0165,0.001386785
66,25149,GTM,11,0.000152613,0.0718,1.0165,0.001386785
67,1200,KNA,11,0,0.0718,1.0165,0.001386785
68,2244,VIR,5,0,0.0484,1.0027,0.00014033
69,1200,AIA,11,0,0.0718,1.0165,0.001386785
70,23713,NIC,9,6.31E-06,0.0623,1.0088,0.000640648
72,1140615,PAN,93,0.009231883,0.7903,1.2597,0.319698551
74,336790,PAN,59,0.00263453,0.4741,1.2432,0.153548515
75,5016,PAN,4,0,0.0439,1.0011,5.26E-05
76,121216,PAN,37,0.001316097,0.2902,1.1893,0.066976432
77,841726,PAN,119,0.017034986,0.877,1.2394,0.357514113
78,19581,CRI,12,0.001084354,0.0783,1.024,0.002177838
79,141097,CRI,52,0.00327536,0.4134,1.2398,0.124919935
80,21552,TTO,32,0.000543683,0.2377,1.1473,0.043967421
81,155664,TTO,62,0.009452993,0.5168,1.2568,0.177116832
82,1200,GBR,11,0,0.0718,1.0165,0.001386785
83,467,NIC,4,0,0.0439,1.0011,5.26E-05
84,7059,GRD,24,0.000235409,0.1579,1.0785,0.016166854
85,15214,CUW,21,4.76E-05,0.1384,1.062,0.011217188
86,467,NIC,4,0,0.0439,1.0011,5.26E-05
87,467,NIC,4,0,0.0439,1.0011,5.26E-05
88,11762,BES,17,1.03E-05,0.1146,1.0469,0.00681053
89,13540,ABW,19,2.92E-05,0.1258,1.0548,0.008824948
90,11730,BRB,31,0.000440782,0.227,1.1352,0.039224686
91,4190,VCT,15,3.97E-05,0.0976,1.0344,0.004172704
92,3526,HND,4,0,0.0439,1.0011,5.26E-05
93,26347,SLV,11,6.73E-05,0.0718,1.0165,0.001386785
94,1200,LCA,11,0,0.0718,1.0165,0.001386785
95,70678,GTM,23,0.00158965,0.1515,1.0728,0.014424364
96,6504,LCA,18,2.82E-05,0.1191,1.0496,0.007532079
97,29655,MTQ,28,0.00104625,0.189,1.1091,0.026179237
98,3146,DMA,19,4.77E-05,0.1258,1.0548,0.008824948
99,55270,GTM,26,0.001270198,0.1771,1.0972,0.022098415
100,80419,HND,32,0.002162765,0.2377,1.1473,0.043967421
101,5016,HND,7,4.29E-05,0.0552,1.0058,0.000355835
