id,Capacity,Country Code,K,BC,phi,rho_C,rho_CM
1,108961,NZL,27,6.23E-05,0.146,1.0449,0.009737163
2,48677,NZL,32,0.000780366,0.1823,1.0665,0.018262882
4,150418,NZL,48,0.000828265,0.3074,1.1515,0.065012152
5,78217,NZL,26,3.22E-05,0.1412,1.0445,0.009067398
6,48417,NZL,22,3.77E-05,0.1221,1.0324,0.005649549
7,9298,AUS,19,0.000508436,0.1094,1.0268,0.00404895
8,207349,NZL,62,0.001441578,0.428,1.2255,0.12597243
10,4164,AUS,9,0,0.062,1.0063,0.000442898
11,559091,AUS,89,0.004874364,0.6629,1.2311,0.238854244
12,286087,NZL,84,0.006671114,0.6313,1.2501,0.228091853
13,258942,NZL,76,0.007326311,0.5722,1.2755,0.204543385
14,9127,NZL,26,0.000264595,0.1412,1.0445,0.009067398
15,262087,AUS,48,0.000734026,0.3074,1.1515,0.065012152
16,6208,AUS,18,2.63E-05,0.1033,1.0242,0.003383031
17,3860,AUS,14,2.08E-06,0.0847,1.0167,0.00176881
18,555132,AUS,76,0.002648796,0.5722,1.2755,0.204543385
19,20597,AUS,39,0.000540473,0.2378,1.1092,0.037033753
20,259334,AUS,57,0.001978115,0.4076,1.2218,0.116467461
21,94,AUS,5,0,0.0481,1.0015,7.67E-05
22,94,AUS,5,0,0.0481,1.0015,7.67E-05
23,22864,NZL,15,0,0.0898,1.0189,0.002169925
24,432390,AUS,71,0.00289681,0.5038,1.2401,0.163474771
25,3426,AUS,10,0,0.0655,1.0075,0.000576726
26,1158,AUS,13,0,0.0791,1.0151,0.001439895
27,2044,NCL,12,0,0.0745,1.0141,0.001228422
28,43633,NCL,59,0.002564286,0.4205,1.2222,0.122055077
29,1259,COK,10,0,0.0655,1.0075,0.000576726
30,10128,TON,27,0.000312881,0.146,1.0449,0.009737163
31,3992,AUS,19,0.000111593,0.1094,1.0268,0.00404895
32,2834,AUS,9,2.46E-05,0.062,1.0063,0.000442898
33,13976,AUS,34,0.001274634,0.201,1.0817,0.024160347
34,1035,NIU,10,0,0.0655,1.0075,0.000576726
35,1259,COK,10,0,0.0655,1.0075,0.000576726
36,1259,TON,10,0,0.0655,1.0075,0.000576726
37,36166,FJI,53,0.005433989,0.3586,1.1825,0.089174452
38,896,AUS,5,0,0.0481,1.0015,7.67E-05
39,16935,FJI,34,0.000517082,0.201,1.0817,0.024160347
40,51204,PYF,39,0.001001663,0.2378,1.1092,0.037033753
41,16872,VUT,39,0.001565232,0.2378,1.1092,0.037033753
42,4785,VUT,22,0.000682313,0.1221,1.0324,0.005649549
43,14801,ASM,28,0.000340244,0.1513,1.0469,0.010681018
44,15057,WSM,32,0.00215646,0.1823,1.0665,0.018262882
45,903,WLF,9,0,0.062,1.0063,0.000442898
46,21869,AUS,37,0.000310307,0.2269,1.0999,0.032800825
47,903,WLF,9,0,0.062,1.0063,0.000442898
48,256,KIR,6,0,0.0501,1.0022,0.00011865
49,7444,PNG,11,0.000138344,0.0691,1.0093,0.00076044
50,256,TKL,6,0,0.0501,1.0022,0.00011865
51,34741,PNG,41,0.001802667,0.2504,1.1146,0.041279948
52,30499,SLB,53,0.007073534,0.3586,1.1825,0.089174452
53,256,TKL,6,0,0.0501,1.0022,0.00011865
54,7444,PNG,11,0.000138344,0.0691,1.0093,0.00076044
55,256,TKL,6,0,0.0501,1.0022,0.00011865
56,903,TUV,9,0,0.062,1.0063,0.000442898
57,2785,SLB,7,3.98E-05,0.0538,1.0031,0.000179449
58,43237,PNG,49,0.001980141,0.3212,1.1615,0.071594375
59,7064,PNG,17,0.000185298,0.0974,1.0219,0.002817912
60,15601,PNG,18,0.000254098,0.1033,1.0242,0.003383031
61,16260,PNG,22,0.000654305,0.1221,1.0324,0.005649549
62,3638,PNG,9,0,0.062,1.0063,0.000442898
63,7889,PNG,13,2.04E-06,0.0791,1.0151,0.001439895
64,3638,PNG,9,0,0.062,1.0063,0.000442898
65,1655,NRU,11,2.40E-05,0.0691,1.0093,0.00076044
66,25149,GTM,11,0.000137164,0.0691,1.0093,0.00076044
67,2984,KNA,29,2.87E-05,0.1569,1.05,0.011880172
68,4606,VIR,30,1.41E-05,0.1669,1.0543,0.013956645
69,3442,AIA,30,3.34E-05,0.1669,1.0543,0.013956645
70,23713,NIC,9,4.91E-06,0.062,1.0063,0.000442898
71,390,CRI,3,0,0.0427,1.0004,1.89E-05
72,1140615,PAN,93,0.005216234,0.691,1.2264,0.251690972
73,1744,PAN,5,0,0.0481,1.0015,7.67E-05
74,336790,PAN,59,0.002074117,0.4205,1.2222,0.122055077
75,7779,PAN,14,0.000194156,0.0847,1.0167,0.00176881
76,121216,PAN,37,0.000602513,0.2269,1.0999,0.032800825
77,843254,PAN,126,0.01082341,0.8429,1.1952,0.314880952
78,19581,CRI,12,0.000104815,0.0745,1.0141,0.001228422
79,153260,CRI,64,0.003909816,0.4571,1.2294,0.139686225
80,25593,TTO,44,0.00117588,0.284,1.1398,0.055383485
81,157448,TTO,75,0.008726853,0.5549,1.2674,0.194163366
82,1200,GBR,11,0,0.0691,1.0093,0.00076044
83,467,NIC,4,0,0.0448,1.0007,3.42E-05
84,9979,GRD,43,0.000336678,0.2744,1.1345,0.05152752
85,17573,CUW,28,0.000429307,0.1513,1.0469,0.010681018
86,467,NIC,4,0,0.0448,1.0007,3.42E-05
87,467,NIC,4,0,0.0448,1.0007,3.42E-05
88,11762,BES,17,6.93E-06,0.0974,1.0219,0.002817912
89,15899,ABW,26,0.000407714,0.1412,1.0445,0.009067398
90,14650,BRB,41,0.000265853,0.2504,1.1146,0.041279948
91,7110,VCT,32,0.00010554,0.1823,1.0665,0.018262882
92,3526,HND,4,0,0.0448,1.0007,3.42E-05
93,26347,SLV,11,5.88E-05,0.0691,1.0093,0.00076044
94,4120,LCA,32,0.000129017,0.1823,1.0665,0.018262882
95,70678,GTM,23,0.00110714,0.1262,1.034,0.006221646
96,9424,LCA,42,0.000264202,0.2638,1.1231,0.046494629
97,30791,MTQ,33,0.000857708,0.1871,1.0689,0.019513768
98,6066,DMA,33,0.000145917,0.1871,1.0689,0.019513768
99,59349,GTM,39,0.00144761,0.2378,1.1092,0.037033753
100,82970,HND,33,0.001489044,0.1871,1.0689,0.019513768
