Country Code,TV
AFG,8294270016
ALB,6249876399
DZA,86599022576
AGO,49805568958
ATG,491172612
AZE,20537966866
ARG,1.17E+11
AUS,3.88E+11
AUT,2.93E+11
BHS,3604095647
BHR,33061974065
BGD,79792872460
ARM,4739632141
BRB,2100605106
BEL,7.69E+11
BMU,937523367
BOL,18492362295
BIH,14093151924
BWA,13945359233
BRA,3.63E+11
BLZ,1309455840
SLB,866230824
BRN,9581739804
BGR,55043862121
MMR,29104018897
BDI,674376049
BLR,56951887400
KHM,19211357070
CMR,10089458110
CAN,8.28E+11
CPV,821536291
CYM,980494381
CAF,553450584
LKA,29406960304
CHL,1.24E+11
CHN,3.95E+12
COL,89726300246
CRI,25082760538
HRV,33424000163
CYP,7634224904
CZE,2.98E+11
BEN,3100313429
DNK,1.80E+11
DOM,25731923671
ECU,39717899766
SLV,15900331149
ETH,30842810288
EST,29639459108
FJI,2976035201
FIN,1.20E+11
FRA,1.06E+12
PYF,1656999813
GEO,9934757754
PSE,6183277524
DEU,2.39E+12
KIR,120737744
GRC,75553216247
GRL,981168888
GTM,28314483015
GIN,3712322995
GUY,3471571618
HND,12582144097
HKG,1.07E+12
HUN,1.91E+11
ISL,10007358420
IDN,2.93E+11
IRQ,88447582280
IRL,2.03E+11
ISR,1.26E+11
ITA,8.68E+11
CIV,21376964840
JAM,6255614668
JPN,1.25E+12
KAZ,76521585543
JOR,28307885460
KOR,9.63E+11
KWT,87068795877
KGZ,5509551420
LAO,6763484570
LVA,25341196161
LTU,53587463846
LUX,31922040331
MAC,11941592170
MDG,5125366347
MWI,3391715199
MYS,3.76E+11
MDV,2041022392
MLT,10703448899
MUS,6939434217
MEX,7.76E+11
MNG,8465871875
MDA,5953657955
MNE,2403249194
MAR,59582486077
MOZ,11103703706
OMN,60933569050
NAM,12325448802
NPL,7272276187
NLD,8.99E+11
ABW,1244896490
NCL,3768444508
NZL,70885657017
NIC,10533663474
NER,3248111297
NOR,1.82E+11
PLW,156700528
PAK,66078662766
PAN,21722389358
PRY,18618759409
PER,71693365752
PHL,1.29E+11
POL,3.84E+11
PRT,1.22E+11
QAT,1.11E+11
ROU,1.30E+11
RUS,5.27E+11
RWA,2436785059
KNA,328769165
LCA,764025366
VCT,380540034
STP,151070427
SAU,3.65E+11
SEN,8207026712
SRB,31589105079
SYC,1449097212
SLE,1852666052
IND,6.55E+11
SGP,6.43E+11
SVK,1.48E+11
VNM,3.28E+11
SVN,52457208740
ZAF,1.49E+11
ZWE,8706327800
ESP,5.83E+11
SDN,14000956377
SWE,2.78E+11
CHE,5.45E+11
THA,4.13E+11
TGO,2440880642
TTO,20053379629
ARE,6.20E+11
TUN,34295990696
TUR,3.51E+11
UGA,7795125802
UKR,75643192778
MKD,10889756599
EGY,96328589955
GBR,1.10E+12
TZA,20560199254
USA,3.82E+12
BFA,5157281490
URY,17158931106
WSM,429509926
YEM,7082680644
ZMB,15402937925
